                                Installed Skills
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
│ obliteratus           │ mlops                │ builtin  │ builtin  │ enabled │
│ outlines              │ mlops                │ official │ official │ enabled │
│ segment-anything-mod… │ mlops                │ builtin  │ builtin  │ enabled │
│ serving-llms-vllm     │ mlops                │ builtin  │ builtin  │ enabled │
│ unsloth               │ mlops                │ official │ official │ enabled │
│ weights-and-biases    │ mlops                │ builtin  │ builtin  │ enabled │
│ obsidian              │ note-taking          │ builtin  │ builtin  │ enabled │
│ Product Strategy      │ product              │ local    │ local    │ enabled │
│ User Research         │ product              │ local    │ local    │ enabled │
│ airtable              │ productivity         │ builtin  │ builtin  │ enabled │
│ google-workspace      │ productivity         │ builtin  │ builtin  │ enabled │
│ linear                │ productivity         │ local    │ local    │ enabled │
│ maps                  │ productivity         │ builtin  │ builtin  │ enabled │
│ nano-pdf              │ productivity         │ builtin  │ builtin  │ enabled │
│ notion                │ productivity         │ builtin  │ builtin  │ enabled │
│ ocr-and-documents     │ productivity         │ builtin  │ builtin  │ enabled │
│ powerpoint            │ productivity         │ builtin  │ builtin  │ enabled │
│ teams-meeting-pipeli… │ productivity         │ builtin  │ builtin  │ enabled │
│ godmode               │ red-teaming          │ builtin  │ builtin  │ enabled │
│ arxiv                 │ research             │ builtin  │ builtin  │ enabled │
│ blogwatcher           │ research             │ builtin  │ builtin  │ enabled │
│ llm-wiki              │ research             │ builtin  │ builtin  │ enabled │
│ polymarket            │ research             │ builtin  │ builtin  │ enabled │
│ research-paper-writi… │ research             │ builtin  │ builtin  │ enabled │
│ secure-coding         │ security             │ local    │ local    │ enabled │
│ security-audit        │ security             │ local    │ local    │ enabled │
│ openhue               │ smart-home           │ builtin  │ builtin  │ enabled │
│ xurl                  │ social-media         │ builtin  │ builtin  │ enabled │
│ debugging-hermes-tui… │ software-development │ local    │ local    │ enabled │
│ hermes-agent-skill-a… │ software-development │ builtin  │ builtin  │ enabled │
│ hermes-s6-container-… │ software-development │ local    │ local    │ enabled │
│ node-inspect-debugger │ software-development │ builtin  │ builtin  │ enabled │
│ plan                  │ software-development │ builtin  │ builtin  │ enabled │
│ python-debugpy        │ software-development │ builtin  │ builtin  │ enabled │
│ requesting-code-revi… │ software-development │ builtin  │ builtin  │ enabled │
│ spike                 │ software-development │ builtin  │ builtin  │ enabled │
│ subagent-driven-deve… │ software-development │ local    │ local    │ enabled │
│ systematic-debugging  │ software-development │ builtin  │ builtin  │ enabled │
│ test-driven-developm… │ software-development │ builtin  │ builtin  │ enabled │
│ writing-plans         │ software-development │ local    │ local    │ enabled │
│ accessibility-testing │ testing-qa           │ local    │ local    │ enabled │
│ api-testing           │ testing-qa           │ local    │ local    │ enabled │
│ e2e-testing           │ testing-qa           │ local    │ local    │ enabled │
│ performance-testing   │ testing-qa           │ local    │ local    │ enabled │
│ test-strategy         │ testing-qa           │ local    │ local    │ enabled │
└───────────────────────┴──────────────────────┴──────────┴──────────┴─────────┘
9 hub-installed, 76 builtin, 73 local — 158 enabled, 0 disabled
